date;position;name;km;days;
2020-06-21;1;ilkkapa;988,0;40;
2020-06-21;2;nkokko;594,4;17;
2020-06-21;3;vesa.luomala;498,5;27;
2020-06-21;4;EevaLa;184,0;11;
2020-06-21;5;IdaSofiak;88,5;7;
2020-06-21;6;KerttuliS;54,5;4;
2020-06-21;7;baja_biker;38,1;8;
2020-06-22;1;ilkkapa;988,0;40;
2020-06-22;2;nkokko;594,4;17;
2020-06-22;3;vesa.luomala;498,5;27;
2020-06-22;4;EevaLa;184,0;11;
2020-06-22;5;IdaSofiak;88,5;7;
2020-06-22;6;KerttuliS;54,5;4;
2020-06-22;7;baja_biker;38,1;8;
2020-06-23;1;ilkkapa;1 025,0;43;
2020-06-23;2;nkokko;594,4;17;
2020-06-23;3;vesa.luomala;498,5;27;
2020-06-23;4;EevaLa;184,0;11;
2020-06-23;5;IdaSofiak;88,5;7;
2020-06-23;6;KerttuliS;54,5;4;
2020-06-23;7;baja_biker;38,1;8;
2020-06-24;1;ilkkapa;1 025,0;43;
2020-06-24;2;nkokko;594,4;17;
2020-06-24;3;vesa.luomala;527,5;28;
2020-06-24;4;EevaLa;184,0;11;
2020-06-24;5;IdaSofiak;88,5;7;
2020-06-24;6;KerttuliS;54,5;4;
2020-06-24;7;baja_biker;38,1;8;
2020-06-25;1;ilkkapa;1 025,0;43;
2020-06-25;2;nkokko;594,4;17;
2020-06-25;3;vesa.luomala;527,5;28;
2020-06-25;4;EevaLa;184,0;11;
2020-06-25;5;IdaSofiak;88,5;7;
2020-06-25;6;KerttuliS;66,5;5;
2020-06-25;7;baja_biker;38,1;8;
2020-06-26;1;ilkkapa;1 056,0;45;
2020-06-26;2;nkokko;594,4;17;
2020-06-26;3;vesa.luomala;527,5;28;
2020-06-26;4;EevaLa;208,0;13;
2020-06-26;5;IdaSofiak;88,5;7;
2020-06-26;6;KerttuliS;66,5;5;
2020-06-26;7;baja_biker;38,1;8;
2020-06-27;1;ilkkapa;1 056,0;45;
2020-06-27;2;vesa.luomala;612,0;30;
2020-06-27;3;nkokko;594,4;17;
2020-06-27;4;EevaLa;208,0;13;
2020-06-27;5;IdaSofiak;88,5;7;
2020-06-27;6;KerttuliS;66,5;5;
2020-06-27;7;baja_biker;38,1;8;
2020-06-28;1;ilkkapa;1 056,0;45;
2020-06-28;2;vesa.luomala;612,0;30;
2020-06-28;3;nkokko;594,4;17;
2020-06-28;4;EevaLa;208,0;13;
2020-06-28;5;KerttuliS;122,5;8;
2020-06-28;6;IdaSofiak;88,5;7;
2020-06-28;7;baja_biker;38,1;8;
2020-06-29;1;ilkkapa;1 070,0;46;
2020-06-29;2;vesa.luomala;612,0;30;
2020-06-29;3;nkokko;594,4;17;
2020-06-29;4;EevaLa;208,0;13;
2020-06-29;5;KerttuliS;122,5;8;
2020-06-29;6;IdaSofiak;88,5;7;
2020-06-29;7;baja_biker;38,1;8;
2020-06-30;1;ilkkapa;1 070,0;46;
2020-06-30;2;vesa.luomala;612,0;30;
2020-06-30;3;nkokko;594,4;17;
2020-06-30;4;EevaLa;208,0;13;
2020-06-30;5;KerttuliS;122,5;8;
2020-06-30;6;IdaSofiak;88,5;7;
2020-06-30;7;baja_biker;38,1;8;
2020-07-01;1;ilkkapa;1 070,0;46;
2020-07-01;2;vesa.luomala;612,0;30;
2020-07-01;3;nkokko;594,4;17;
2020-07-01;4;EevaLa;208,0;13;
2020-07-01;5;KerttuliS;122,5;8;
2020-07-01;6;IdaSofiak;88,5;7;
2020-07-01;7;baja_biker;38,1;8;
2020-07-02;1;ilkkapa;1 084,0;47;
2020-07-02;2;vesa.luomala;621,0;31;
2020-07-02;3;nkokko;594,4;17;
2020-07-02;4;EevaLa;208,0;13;
2020-07-02;5;KerttuliS;122,5;8;
2020-07-02;6;IdaSofiak;88,5;7;
2020-07-02;7;baja_biker;38,1;8;
2020-07-03;1;ilkkapa;1 084,0;47;
2020-07-03;2;vesa.luomala;649,5;32;
2020-07-03;3;nkokko;594,4;17;
2020-07-03;4;EevaLa;208,0;13;
2020-07-03;5;KerttuliS;122,5;8;
2020-07-03;6;IdaSofiak;88,5;7;
2020-07-03;7;baja_biker;38,1;8;
2020-07-04;1;ilkkapa;1 137,0;48;
2020-07-04;2;vesa.luomala;649,5;32;
2020-07-04;3;nkokko;594,4;17;
2020-07-04;4;EevaLa;228,0;14;
2020-07-04;5;KerttuliS;122,5;8;
2020-07-04;6;IdaSofiak;88,5;7;
2020-07-04;7;baja_biker;38,1;8;
2020-07-05;1;ilkkapa;1 137,0;48;
2020-07-05;2;vesa.luomala;664,5;33;
2020-07-05;3;nkokko;594,4;17;
2020-07-05;4;EevaLa;228,0;14;
2020-07-05;5;KerttuliS;122,5;8;
2020-07-05;6;IdaSofiak;88,5;7;
2020-07-05;7;baja_biker;38,1;8;
2020-07-06;1;ilkkapa;1 148,0;50;
2020-07-06;2;vesa.luomala;664,5;33;
2020-07-06;3;nkokko;594,4;17;
2020-07-06;4;EevaLa;228,0;14;
2020-07-06;5;KerttuliS;122,5;8;
2020-07-06;6;IdaSofiak;88,5;7;
2020-07-06;7;baja_biker;38,1;8;
2020-07-07;1;ilkkapa;1 148,0;50;
2020-07-07;2;vesa.luomala;673,5;34;
2020-07-07;3;nkokko;594,4;17;
2020-07-07;4;EevaLa;228,0;14;
2020-07-07;5;KerttuliS;122,5;8;
2020-07-07;6;IdaSofiak;88,5;7;
2020-07-07;7;baja_biker;38,1;8;
2020-07-08;1;ilkkapa;1 187,0;52;
2020-07-08;2;vesa.luomala;681,5;35;
2020-07-08;3;nkokko;594,4;17;
2020-07-08;4;EevaLa;228,0;14;
2020-07-08;5;KerttuliS;122,5;8;
2020-07-08;6;IdaSofiak;88,5;7;
2020-07-08;7;baja_biker;38,1;8;
2020-07-09;1;ilkkapa;1 187,0;52;
2020-07-09;2;vesa.luomala;681,5;35;
2020-07-09;3;nkokko;594,4;17;
2020-07-09;4;EevaLa;228,0;14;
2020-07-09;5;KerttuliS;122,5;8;
2020-07-09;6;IdaSofiak;88,5;7;
2020-07-09;7;baja_biker;38,1;8;
2020-07-10;1;ilkkapa;1 220,0;53;
2020-07-10;2;vesa.luomala;706,5;36;
2020-07-10;3;nkokko;618,0;19;
2020-07-10;4;EevaLa;228,0;14;
2020-07-10;5;KerttuliS;122,5;8;
2020-07-10;6;IdaSofiak;88,5;7;
2020-07-10;7;baja_biker;38,1;8;
2020-07-11;1;ilkkapa;1 220,0;53;
2020-07-11;2;vesa.luomala;706,5;36;
2020-07-11;3;nkokko;618,0;19;
2020-07-11;4;EevaLa;228,0;14;
2020-07-11;5;KerttuliS;122,5;8;
2020-07-11;6;IdaSofiak;88,5;7;
2020-07-11;7;baja_biker;38,1;8;
2020-07-12;1;ilkkapa;1 220,0;53;
2020-07-12;2;vesa.luomala;784,5;37;
2020-07-12;3;nkokko;628,5;20;
2020-07-12;4;EevaLa;228,0;14;
2020-07-12;5;KerttuliS;122,5;8;
2020-07-12;6;IdaSofiak;88,5;7;
2020-07-12;7;baja_biker;38,1;8;
2020-07-13;1;ilkkapa;1 220,0;53;
2020-07-13;2;vesa.luomala;784,5;37;
2020-07-13;3;nkokko;628,5;20;
2020-07-13;4;EevaLa;228,0;14;
2020-07-13;5;KerttuliS;122,5;8;
2020-07-13;6;IdaSofiak;88,5;7;
2020-07-13;7;baja_biker;38,1;8;
2020-07-14;1;ilkkapa;1 270,0;54;
2020-07-14;2;vesa.luomala;784,5;37;
2020-07-14;3;nkokko;628,5;20;
2020-07-14;4;EevaLa;228,0;14;
2020-07-14;5;KerttuliS;122,5;8;
2020-07-14;6;IdaSofiak;88,5;7;
2020-07-14;7;baja_biker;38,1;8;
2020-07-15;1;ilkkapa;1 270,0;54;
2020-07-15;2;vesa.luomala;793,0;38;
2020-07-15;3;nkokko;628,5;20;
2020-07-15;4;EevaLa;228,0;14;
2020-07-15;5;KerttuliS;122,5;8;
2020-07-15;6;IdaSofiak;88,5;7;
2020-07-15;7;baja_biker;38,1;8;
2020-07-16;1;ilkkapa;1 270,0;54;
2020-07-16;2;vesa.luomala;814,0;39;
2020-07-16;3;nkokko;628,5;20;
2020-07-16;4;EevaLa;228,0;14;
2020-07-16;5;KerttuliS;122,5;8;
2020-07-16;6;IdaSofiak;88,5;7;
2020-07-16;7;baja_biker;38,1;8;
2020-07-17;1;ilkkapa;1 270,0;54;
2020-07-17;2;vesa.luomala;823,0;40;
2020-07-17;3;nkokko;628,5;20;
2020-07-17;4;EevaLa;228,0;14;
2020-07-17;5;KerttuliS;122,5;8;
2020-07-17;6;IdaSofiak;88,5;7;
2020-07-17;7;baja_biker;38,1;8;
2020-07-18;1;ilkkapa;1 337,0;56;
2020-07-18;2;vesa.luomala;823,0;40;
2020-07-18;3;nkokko;628,5;20;
2020-07-18;4;EevaLa;228,0;14;
2020-07-18;5;KerttuliS;122,5;8;
2020-07-18;6;IdaSofiak;88,5;7;
2020-07-18;7;baja_biker;38,1;8;
2020-07-19;1;ilkkapa;1 367,0;57;
2020-07-19;2;vesa.luomala;952,5;41;
2020-07-19;3;nkokko;634,7;21;
2020-07-19;4;EevaLa;228,0;14;
2020-07-19;5;KerttuliS;122,5;8;
2020-07-19;6;IdaSofiak;88,5;7;
2020-07-19;7;baja_biker;38,1;8;
2020-07-20;1;ilkkapa;1 367,0;57;
2020-07-20;2;vesa.luomala;1 034,5;42;
2020-07-20;3;nkokko;634,7;21;
2020-07-20;4;EevaLa;228,0;14;
2020-07-20;5;KerttuliS;122,5;8;
2020-07-20;6;IdaSofiak;88,5;7;
2020-07-20;7;baja_biker;38,1;8;
2020-07-21;1;ilkkapa;1 367,0;57;
2020-07-21;2;vesa.luomala;1 034,5;42;
2020-07-21;3;nkokko;634,7;21;
2020-07-21;4;EevaLa;228,0;14;
2020-07-21;5;KerttuliS;122,5;8;
2020-07-21;6;IdaSofiak;88,5;7;
2020-07-21;7;baja_biker;38,1;8;
2020-07-22;1;ilkkapa;1 367,0;57;
2020-07-22;2;vesa.luomala;1 139,5;43;
2020-07-22;3;nkokko;634,7;21;
2020-07-22;4;EevaLa;228,0;14;
2020-07-22;5;KerttuliS;122,5;8;
2020-07-22;6;IdaSofiak;88,5;7;
2020-07-22;7;baja_biker;38,1;8;
2020-07-24;1;ilkkapa;1 367,0;57;
2020-07-24;2;vesa.luomala;1 229,0;44;
2020-07-24;3;nkokko;634,7;21;
2020-07-24;4;EevaLa;228,0;14;
2020-07-24;5;KerttuliS;122,5;8;
2020-07-24;6;IdaSofiak;88,5;7;
2020-07-24;7;baja_biker;38,1;8;
2020-07-25;1;ilkkapa;1 381,0;58;
2020-07-25;2;vesa.luomala;1 229,0;44;
2020-07-25;3;nkokko;634,7;21;
2020-07-25;4;EevaLa;228,0;14;
2020-07-25;5;KerttuliS;122,5;8;
2020-07-25;6;IdaSofiak;88,5;7;
2020-07-25;7;baja_biker;38,1;8;
2020-07-26;1;ilkkapa;1 381,0;58;
2020-07-26;2;vesa.luomala;1 238,0;45;
2020-07-26;3;nkokko;657,7;22;
2020-07-26;4;EevaLa;228,0;14;
2020-07-26;5;KerttuliS;122,5;8;
2020-07-26;6;IdaSofiak;88,5;7;
2020-07-26;7;baja_biker;38,1;8;
2020-07-27;1;ilkkapa;1 381,0;58;
2020-07-27;2;vesa.luomala;1 243,0;46;
2020-07-27;3;nkokko;695,8;23;
2020-07-27;4;EevaLa;228,0;14;
2020-07-27;5;KerttuliS;122,5;8;
2020-07-27;6;IdaSofiak;88,5;7;
2020-07-27;7;baja_biker;38,1;8;
2020-07-28;1;ilkkapa;1 381,0;58;
2020-07-28;2;vesa.luomala;1 269,0;47;
2020-07-28;3;nkokko;695,8;23;
2020-07-28;4;EevaLa;277,0;16;
2020-07-28;5;KerttuliS;122,5;8;
2020-07-28;6;IdaSofiak;88,5;7;
2020-07-28;7;baja_biker;38,1;8;
2020-07-29;1;ilkkapa;1 394,0;59;
2020-07-29;2;vesa.luomala;1 290,0;48;
2020-07-29;3;nkokko;695,8;23;
2020-07-29;4;EevaLa;277,0;16;
2020-07-29;5;KerttuliS;122,5;8;
2020-07-29;6;IdaSofiak;88,5;7;
2020-07-29;7;baja_biker;38,1;8;
2020-07-30;1;ilkkapa;1 408,0;60;
2020-07-30;2;vesa.luomala;1 300,0;49;
2020-07-30;3;nkokko;718,5;24;
2020-07-30;4;EevaLa;277,0;16;
2020-07-30;5;KerttuliS;122,5;8;
2020-07-30;6;IdaSofiak;88,5;7;
2020-07-30;7;baja_biker;38,1;8;
2020-07-31;1;ilkkapa;1 422,0;61;
2020-07-31;2;vesa.luomala;1 300,0;49;
2020-07-31;3;nkokko;725,3;25;
2020-07-31;4;EevaLa;277,0;16;
2020-07-31;5;KerttuliS;122,5;8;
2020-07-31;6;IdaSofiak;88,5;7;
2020-07-31;7;baja_biker;38,1;8;
2020-08-01;1;ilkkapa;1 422,0;61;
2020-08-01;2;vesa.luomala;1 300,0;49;
2020-08-01;3;nkokko;789,5;26;
2020-08-01;4;EevaLa;277,0;16;
2020-08-01;5;KerttuliS;122,5;8;
2020-08-01;6;IdaSofiak;88,5;7;
2020-08-01;7;baja_biker;38,1;8;
2020-08-02;1;ilkkapa;1 422,0;61;
2020-08-02;2;vesa.luomala;1 300,0;49;
2020-08-02;3;nkokko;789,5;26;
2020-08-02;4;EevaLa;277,0;16;
2020-08-02;5;KerttuliS;122,5;8;
2020-08-02;6;IdaSofiak;88,5;7;
